TIME,REGION,COUNTRY,COUNTRY_CODE, LIFE_EXP_FEMALE , LIFE_EXP_MALE , LIFE_EXP_TOTAL , POP_FEMALE , POP_MALE , POP_TOTAL , GDP_CAPITA , HEALTH_CAPITA 
2018,Africa,Mali,MLI, 60.69 , 58.14 , 59.39 ," 9,865,821 "," 10,068,477 "," 19,934,298 "," 2,238.12 ", 83.54 
2018,Europe,Malta,MLT, 84.60 , 80.40 , 82.45 ," 236,050 "," 248,581 "," 484,630 "," 45,557.72 "," 3,975.95 "
2018,Oceania,Marshall Islands,MHL, 66.36 , 63.00 , 64.50 ," 22,460 "," 23,529 "," 45,989 "," 5,074.34 ", 654.91 
2018,Africa,Mauritania,MRT, 67.08 , 63.59 , 65.31 ," 2,182,110 "," 2,088,602 "," 4,270,712 "," 5,496.25 ", 188.39 
2018,Africa,Mauritius,MUS, 77.72 , 71.27 , 74.42 ," 639,874 "," 625,703 "," 1,265,577 "," 23,571.89 "," 1,303.27 "
2018,North America,Mexico,MEX, 77.29 , 70.83 , 74.02 ," 63,328,698 "," 60,685,164 "," 124,013,861 "," 20,448.92 "," 1,100.86 "
2018,Oceania,"Micronesia, Fed. Sts.",FSM, 74.96 , 67.92 , 71.32 ," 55,063 "," 55,865 "," 110,929 "," 3,598.40 ", 369.59 
2018,Europe,Moldova,MDA, 75.23 , 65.92 , 70.49 ," 1,419,884 "," 1,287,319 "," 2,707,203 "," 12,434.65 ", 827.33 
2018,Asia,Mongolia,MNG, 75.83 , 66.81 , 71.20 ," 1,591,658 "," 1,572,333 "," 3,163,991 "," 12,342.04 ", 468.92 
2018,Europe,Montenegro,MNE, 79.30 , 74.50 , 76.84 ," 318,787 "," 303,440 "," 622,227 "," 21,513.43 "," 1,768.69 "
2018,Africa,Morocco,MAR, 76.09 , 72.03 , 73.99 ," 17,840,191 "," 18,087,320 "," 35,927,511 "," 8,266.14 ", 414.20 
2018,Africa,Mozambique,MOZ, 63.23 , 57.72 , 60.53 ," 14,996,993 "," 14,426,886 "," 29,423,878 "," 1,323.98 ", 107.09 
2018,Asia,Myanmar,MMR, 69.68 , 63.41 , 66.47 ," 26,421,724 "," 26,244,290 "," 52,666,014 "," 4,665.82 ", 228.61 
2018,Africa,Namibia,NAM, 66.18 , 58.93 , 62.59 ," 1,243,822 "," 1,161,859 "," 2,405,680 "," 10,512.98 ", 874.28 
2018,Oceania,Nauru,NRU, 66.99 , 59.88 , 63.23 ," 5,849 "," 6,074 "," 11,924 "," 10,134.28 "," 1,466.41 "
2018,Asia,Nepal,NPL, 70.72 , 67.23 , 68.98 ," 14,952,540 "," 13,554,172 "," 28,506,712 "," 3,808.72 ", 172.47 
