Time,Region,Country Name,Country Code,"Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]","Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Population, female [SP.POP.TOTL.FE.IN]","Population, male [SP.POP.TOTL.MA.IN]","Population, total [SP.POP.TOTL]","GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]"
2022,,South Asia (IDA & IBRD),TSA,..,..,..,937536709,981811290,1919348000,7931.137897
2022,,Sub-Saharan Africa,SSF,..,..,..,607646914,603523266,1211170184,4423.488813
2022,,Sub-Saharan Africa (excluding high income),SSA,..,..,..,607599532,603470587,1211070124,4420.943422
2022,,Sub-Saharan Africa (IDA & IBRD countries),TSS,..,..,..,607646914,603523266,1211170184,4423.488813
2022,,Upper middle income,UMC,..,..,..,1388879475,1395328802,2784208276,21487.64165
2022,,World,WLD,..,..,..,3954513372,3996636162,7951149546,20645.48356
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,
Last Updated: 06/29/2023,,,,,,,,,,
