TIME,COUNTRY,COUNTRY_CODE,LIFE_EXP_FEMALE,LIFE_EXP_MALE,LIFE_EXP_TOTAL,POP_FEMALE,POP_MALE,POP_TOTAL,GDP_CAPITA,HEALTH_CAPITA
2018,Pre-demographic dividend,PRE,62.03515704,58.69631994,60.35483878,466509604,464957566,931467165,3573.309701,144.868709
2018,Small states,SST,71.22797725,67.52261213,69.26893496,19852187,21527181,41379367,20711.91737,1044.66883
2018,South Asia,SAS,71.91581675,68.70592846,70.25347861,897383323,943150770,1840534093,6271.209444,184.3686394
2018,South Asia (IDA & IBRD),TSA,71.91581675,68.70592846,70.25347861,897383323,943150770,1840534093,6271.209444,184.3686394
2018,Sub-Saharan Africa,SSF,62.72966204,59.01098214,60.86302754,548412951,543991025,1092403973,3901.449787,183.1214465
2018,Sub-Saharan Africa (excluding high income),SSA,62.72843318,59.01009544,60.86196643,548367017,543940197,1092307211,3899.247831,183.0125548
2018,Sub-Saharan Africa (IDA & IBRD countries),TSS,62.72966204,59.01098214,60.86302754,548412951,543991025,1092403973,3901.449787,183.1214465
2018,Upper middle income,UMC,78.72173966,72.87737794,75.72669664,1362924416,1373495437,2736419850,16645.12247,904.3456656
2018,World,WLD,75.27209135,70.43241401,72.78408956,3806732090,3855044533,7661776612,16974.69703,1381.758758
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,
Last Updated: 06/29/2023,,,,,,,,,,
